description,Name,Number with MA or mA,Major Arcana or Minor Arcana,Suit of Cards,Image,Fortune,Key Words Upright,Key words Reversed,Upright Meaning,Reverse Meaning,Archetype,"tarot cards and basic information about them, as well as references to corresp.9",Numerology,Elements and Planets,Mythical ,Questions to ask ,,
cards,Five of Pentacles,5,Minor Arcana,Pentacles,p05.jpg,"Finances are getting tighter, Prepare for a setback","poverty,destitution,need,crisis",,"Recognizing your needs and taking action to fulfill them,Doing as much as you can do with what little you have,Admitting you need help,Embracing the aid that comes your way,Focusing on what you have versus what you don't,Looking for the light at the end of the tunnel",Exaggerating your financial or physical needsAdopting a poverty mentalityRefusing to support yourselfRefusing offers of supportPlaying the martyrTurning down opportunities to improve your health or financesWallowing in misery,,,"5 (The Catalyst: instability, resistance, confrontation)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"What critical resources do I lack?,What people or groups would come to my aid if I asked?,How might an impoverished spirit be impacting my physical or financial condition?",,
cards,Six of Pentacles,6,Minor Arcana,Pentacles,p06.jpg,"When you need help, ask for it, Remember, though: what you receive may be limited by what you've given to others in the past","charity,fairness,cooperation,sharing",,"Giving time, money, or effort to a charity,Taking part in a group effort,Lending your resources to others without expecting anything in return,Making sure everyone is treated equally,Working together toward a common goal,Redistributing wealth, time, or attention,Tithing,Sharing credit for your success",Making a loan as a means of gaining control over someoneUsing charitable acts to draw attention to yourselfDividing work or resources unfairlyFailing to do your part in a group effortIgnoring obligations and commitments,,,"6 (The Adjustment: cooperation, collaboration, interaction)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"How do I feel about charity? About giving it? About receiving it?,How can I know if I'm treating others fairly?,What could I give that no one else can?",,
cards,Seven of Pentacles,7,Minor Arcana,Pentacles,p07.jpg,"Things won't work out as expected, Pick up the pieces and prepare to move on","Assessment, Evaluation, Re-evaluation, Reflection",,"Measuring progress toward your goal, Looking at results with an eye toward improving performance, Asking, ""How happy am I?"", Coming up with ideas for improving your health or prosperity, Deciding it's time for a change, Expressing an honest opinion","Becoming distracted by melancholy thoughts, Longing for ""the good old days"", Beating yourself up over lost opportunities, Judging your own work harshly, Holding others to inappropriate standards, Refusing to take part in a project, then whining about the quality of the outcome.",,,"7 (The Motive: imagination, inner work, psychology)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"To what extent have I fulfilled my own expectations?,What are the terms of success?,How can I be happier with the progress I've made?",,
cards,Eight of Pentacles,8,Minor Arcana,Pentacles,p08.jpg,"Stop over-analyzing, researching, and outlining, Buckle down and get the work done","effort,work diligence,skill",,"Doing your best, Bringing enthusiasm and zeal to your work, Making an effort to be the best you can be, Finding the work that is right for you, Taking care of the small details, Becoming a finely skilled craftsperson, Building something with your hands, Making a handmade gift","Working yourself to death, Doing a half-hearted or sloppy job, Continuing in a job you hate, Buying thoughtless gifts, Producing work with shoddy craftsmanship, Rushing through your work, Rejecting opportunities to learn more about your craft",,,"8 (The Action: movement, outer work, swiftness)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"How long has it been since you were ""lost in your work?"",How can you improve your level of dedication and focus?,What work do you do best? What about that work appeals to you?",,
cards,Nine of Pentacles,9,Minor Arcana,Pentacles,p09.jpg,"Until you appreciate what you have, you won't have any luck getting more","training,discipline,confidence,enough",,"Investing time in learning or teaching a difficult task,Restraining yourself from physical or financial extremes,Making sacrifices as a way of achieving larger goals,Breaking a complex task down into simple steps,Wanting what you have,Knowing the difference between needs and wants",Being assigned to a task without being trained to perform itPursuing a position for which you are not qualifiedDisregarding requirementsRefusing to dedicate adequate time or attention when learning about something or someone newAlways craving more,,,"9 (The Completion: fullness, readiness, ripeness)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"If you could not have what you want, how would you make do?,Could you make a complex task easier by breaking it down into smaller steps?,How patient are you during the learning process? With yourself? With others?",,
cards,Ten of Pentacles,10,Minor Arcana,Pentacles,p10.jpg,"Big money is in the near future, Expect a powerful blessing to come your way","wealth,abundance,acquisition,greed",,"Celebrating your physical and financial blessings,Realizing how lucky or how blessed you are,Being satisfied with your physical and financial achievements,Taking best advantage of ""times of plenty"",Enjoying a feast,Showering friends or family with gifts","Spending all of your money on extravagant gifts and possessionsTrying too hard to impress others with your wealth or physiqueGiving an inappropriately expensive gift as a means of currying favorObsessing on matters of weight, health, or financeAlways asking, ""What's in it for me?""",,,"10 (The End: finality, completion, exhaustion)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"How much stuff do I really need?,How do I feel about wealth and abundance? How do I define these terms?,How might shedding some possessions open room for growth?",,
cards,Page of Pentacles,11,Minor Arcana,Pentacles,p11.jpg,"This card represents a young man or woman with an earthy, practical demeanor, likely born an Aries, Taurus, or Gemini, who playfully encourages you to take financial or sexual risks","Practicality, Prosperity, Learning, Growth, Adolescence",,"Learning the value of a dollar, Starting a savings plan, Taking the first steps toward getting out of debt, Learning new physical tasks ,Discovering your sexuality, Launching a diet, a weight-lifting program, or a health-related effort, Learning by doing","Trying to appear healthier or wealthier than you really are, Spending money carelessly, Living strictly for today, with no thought of tomorrow,Possessing immature attitudes toward sex and sexuality, Using wealth or beauty as an excuse for not having to learn and grow",,,11,Earth of Earth.,,"How can you get more financial or sexual experience without risking your livelihood or health?,How might hands-on learning play a role in your situation?,What's the most practical choice you could make?",,
cards,Knight of Pentacles,12,Minor Arcana,Pentacles,p12.jpg,"A stingy person may chide you for spending money, Be prepared to defend an economic or sexual decision","caution,focus,realism,invention",,"Spending money wisely, Saving for a rainy day, Paying close attention to physical or financial details, Knowing where every dollar goes, Having safe sex, Preferring facts to ""good feelings"", Finding creative ways to ""make do"" with resources on hand, Completing a new invention","Throwing caution to the four winds, Spending without regard for consequence, Spending on luxury when necessities are lacking, Escaping stress by spending money, Obsessing on tiny physical or financial details, Perpetually chasing after some new bauble, Copying another's work and claiming it as your own",,,12,Air of Earth.,,"What's the difference between caution and fear?,How can I evaluate the practicality of my own ideas and methods?,How realistic are my goals?",,
cards,Queen of Pentacles,13,Minor Arcana,Pentacles,p13.jpg,"This card represents a woman with an expansive, sensual nature, likely born between December 13th and 31st, who uses sensual appeal and the promise of reward to sway others to her point of view","luxury,comfort,resourcefulness,generosity,prosperity",,"Appreciating fine food, fine wine, beautiful art, beautiful bodies, or any of the better things in life, Reveling in healthy sexuality, Treating yourself, Splurging on the occasional ""nice to have"" item, Rewarding someone with compensation above and beyond expectations, Having it all","Indulging in gluttony or greediness, Becoming insatiable, Blunting the impact of treats by indulging in them too often, Providing physical comfort without providing for emotional needs, Allowing a feeling of entitlement to distort your gratitude for what you're given",,,13,Water of Earth.,,"How do I define luxury?,To what extent am I capable of reveling in sensual pleasure?,What would I have to give up in order to ""have it all?""",,
cards,King of Pentacles,14,Minor Arcana,Pentacles,p14.jpg,"This card represents an older man with a financially, socially, and politically conservative spirit, likely born between August 12th and September 11th, who is known for putting his money where his mouth is","stability,dependability,confidence,intervention",,"Becoming debt-free, Having more than enough to get by, Making contributions to a savings plan, Taking a new job with an eye toward advancing your career, Buying life or health insurance, Being confident in the bedroom ,Taking on the role of enforcer when called upon to do so","Becoming so conservative you resist all change on principle aloneIgnoring innovations in the name of preserving tradition, Being smug or cocky, Becoming ruthlessly dedicated to profit or pleasure, Being sexually selfish, Bossing others around, especially when you're not empowered to do so",,,14,Fire of Earth.,,"How can you handle expenses with greater confidence and maturity?,How dependable are you? How dependable would others say you are?,To what extent is a conservative viewpoint valuable? At what point does it become more of a burden than a blessing?",,
